nuts,popLabel,zeitungLabel
DE117,Heilbronn,1
DE118,Landkreis Heilbronn,1
DE119,Hohenlohekreis,1
DE123,Landkreis Karlsruhe,1
DE127,Neckar-Odenwald-Kreis,1
DE129,Pforzheim,1
DE142,Landkreis Tübingen,1
DE148,Landkreis Ravensburg,1
DE402,Cottbus,1
DE501,Bremen,1
DE600,Hamburg,1
DE713,Offenbach am Main,1
DE714,Wiesbaden,1
DE715,Kreis Bergstraße,1
DE716,Landkreis Darmstadt-Dieburg,1
DE718,Hochtaunuskreis,1
DE71A,Main-Taunus-Kreis,1
DE71B,Odenwaldkreis,1
DE724,Landkreis Marburg-Biedenkopf,1
DE725,Vogelsbergkreis,1
DE733,Landkreis Hersfeld-Rotenburg,1
DE803,Rostock,1
DE911,Braunschweig,1
DE912,Salzgitter,1
DE917,Landkreis Helmstedt,1
DE91A,Landkreis Peine,1
DE91B,Landkreis Wolfenbüttel,1
DE91C,Landkreis Göttingen,1
DE925,Landkreis Hildesheim,1
DE932,Landkreis Cuxhaven,1
DE936,Landkreis Osterholz,1
DE937,Landkreis Rotenburg (Wümme),1
DE939,Landkreis Stade,1
DE943,Oldenburg,1
DE944,Osnabrück,1
DE945,Wilhelmshaven,1
DEA11,Düsseldorf,1
DEA13,Essen,1
DEA19,Solingen,1
DEA1A,Wuppertal,1
DEA23,Köln,1
DEA33,Münster,1
DEA37,Kreis Steinfurt,1
DEA46,Kreis Minden-Lübbecke,1
DEA52,Dortmund,1
DEA53,Hagen,1
DEC01,Regionalverband Saarbrücken,1
DED21,Dresden,1
DED51,Leipzig,1
DEE03,Magdeburg,1
DEE04,Altmarkkreis Salzwedel,1
DEE05,Landkreis Anhalt-Bitterfeld,1
DEE06,Landkreis Jerichower Land,1
DEE07,Landkreis Börde,1
DEE0C,Salzlandkreis,1
DEE0D,Landkreis Stendal,1
DEF01,Flensburg,1
DEF02,Kiel,1
DEF03,Lübeck,1
DEG02,Gera,1
DE111,Stuttgart,2
DE113,Landkreis Esslingen,2
DE114,Landkreis Göppingen,2
DE115,Landkreis Ludwigsburg,2
DE116,Rems-Murr-Kreis,2
DE128,Rhein-Neckar-Kreis,2
DE12B,Enzkreis,2
DE404,Potsdam,2
DE712,Frankfurt am Main,2
DE717,Kreis Groß-Gerau,2
DE719,Main-Kinzig-Kreis,2
DE71C,Landkreis Offenbach,2
DE721,Landkreis Gießen,2
DE913,Wolfsburg,2
DE914,Landkreis Gifhorn,2
DEA2D,Städteregion Aachen,2
DEE09,Landkreis Harz,2
DE112,Landkreis Böblingen,3
DE711,Darmstadt,3
DE212,München,4
DE300,Berlin,10
